Time, Longitude, Latitude,Engine RPM(rpm),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (OBD)(km/h),Throttle Position(Manifold)(%),SOC
22.3,78.12180333,9.972333333,1149.5,9.97233295,78.12180328,0.39215687,0,12.94117641,66
22.4,78.12180333,9.972333333,1149.5,9.97233295,78.12180328,0.39215687,0,12.94117641,66
22.5,78.12180333,9.972333333,1149.5,9.97233295,78.12180328,0.39215687,0,12.94117641,66
22.6,78.12180333,9.972333333,1149.5,9.97233295,78.12180328,0.39215687,0,12.94117641,66
22.7,78.121715,9.972333333,1149.5,9.97233295,78.12171173,0.39215687,0,12.94117641,66
22.8,78.121715,9.972333333,1149.5,9.97233295,78.12171173,0.39215687,0,12.94117641,66
22.9,78.121715,9.972333333,1153,9.97233295,78.12171173,0.39215687,0,12.94117641,66
23,78.121715,9.972333333,1153,9.97233295,78.12171173,0.39215687,0,12.94117641,66
23.1,78.121715,9.972333333,1153,9.97233295,78.12171173,0.39215687,0,12.94117641,66
23.2,78.12164667,9.972321667,1147.5,9.97232151,78.12164307,0.39215687,0,12.94117641,66
23.3,78.12164667,9.972321667,1147.5,9.97232151,78.12164307,0.39215687,0,12.94117641,66
23.4,78.12164667,9.972321667,1147.5,9.97232151,78.12164307,0.39215687,0,12.94117641,66
23.5,78.12164667,9.972321667,1147.5,9.97232151,78.12164307,0.39215687,0,12.94117641,66
23.6,78.12164667,9.972321667,1147.5,9.97232151,78.12164307,0.39215687,0,12.94117641,66
23.7,78.12164667,9.972321667,1147.5,9.97232151,78.12164307,0.39215687,0,12.94117641,66
23.8,78.12164667,9.972321667,1147.5,9.97232151,78.12164307,0.39215687,0,12.94117641,66
23.9,78.12164667,9.972321667,1147.5,9.97232151,78.12164307,0.39215687,0,12.94117641,66
24,78.12164667,9.972321667,1147.5,9.97232151,78.12164307,0.39215687,0,12.94117641,66
24.1,78.12164667,9.972321667,1147.5,9.97232151,78.12164307,0.39215687,0,12.94117641,66
24.2,78.12154833,9.972333333,1147.5,9.97233295,78.12155151,0.39215687,0,12.94117641,66
24.3,78.12154833,9.972333333,1162,9.97233295,78.12155151,0.39215687,0,12.94117641,66
24.4,78.12154833,9.972333333,1162,9.97233295,78.12155151,0.39215687,0,12.94117641,66
24.5,78.12154833,9.972333333,1162,9.97233295,78.12155151,0.39215687,0,12.94117641,66
24.6,78.12154833,9.972333333,1162,9.97233295,78.12155151,0.39215687,0,12.94117641,66
24.7,78.12154833,9.972333333,1162,9.97233295,78.12155151,0.39215687,0,12.94117641,66
24.8,78.12154833,9.972333333,1162,9.97233295,78.12155151,0.39215687,0,12.94117641,66
24.9,78.12154833,9.972333333,1162,9.97233295,78.12155151,0.39215687,0,12.94117641,66
25,78.12154833,9.972333333,1162,9.97233295,78.12155151,0.39215687,0,12.94117641,66
25.1,78.12154833,9.972333333,1162,9.97233295,78.12155151,0.39215687,0,12.94117641,66
25.2,78.12145667,9.972343333,1162,9.97234344,78.12145996,0.39215687,0,12.94117641,66
25.3,78.12145667,9.972343333,1162,9.97234344,78.12145996,0.39215687,0,12.94117641,66
25.4,78.12145667,9.972343333,1162,9.97234344,78.12145996,0.39215687,0,12.94117641,66
25.6,78.12138333,9.972343333,1145.25,9.97234344,78.12138367,0.39215687,0,12.94117641,66
25.7,78.12138333,9.972343333,1145.25,9.97234344,78.12138367,0.39215687,0,12.94117641,66
25.8,78.12138333,9.972343333,1145.25,9.97234344,78.12138367,0.39215687,0,12.94117641,66
25.9,78.12138333,9.972343333,1145.25,9.97234344,78.12138367,0.39215687,0,12.94117641,66
26,78.12138333,9.972343333,1145.25,9.97234344,78.12138367,0.39215687,0,12.94117641,66
26.1,78.12138333,9.972343333,1181.75,9.97234344,78.12138367,0.39215687,0,12.94117641,66
