Time,Relative Throttle Position(%),Speed (OBD)(km/h),SOC
37.6,0.39215687,27,66
37.7,0.39215687,27,66
37.8,0.39215687,26,66
37.9,0.39215687,26,66
38,0.39215687,26,66
38.1,0.39215687,26,66
38.2,0.39215687,26,66
38.3,0.39215687,26,66
38.4,0.39215687,26,66
38.5,0.39215687,26,66
38.6,0.39215687,25,66
38.7,0.39215687,25,66
38.8,0.39215687,25,66
38.9,0.39215687,25,66
39,0.39215687,25,66
39.1,0.39215687,25,66
39.2,0.39215687,25,66
39.3,0.39215687,23,66
39.4,0.39215687,23,66
39.5,0.39215687,23,66
39.6,0.39215687,23,66
39.7,0.39215687,23,66
39.8,0.39215687,23,66
39.9,0.39215687,23,66
40,0.39215687,20,66
40.1,0.39215687,20,66
40.2,0.39215687,20,66
40.3,6.66666651,20,66
40.4,6.66666651,20,66
40.5,6.66666651,20,66
40.6,6.66666651,20,66
40.7,6.66666651,19,66
40.8,6.66666651,19,66
40.9,6.66666651,19,66
41,6.66666651,19,66
41.1,6.66666651,19,66
41.2,6.66666651,19,66
41.3,0.39215687,19,66
41.4,0.39215687,19,66
41.5,0.39215687,19,66
41.6,0.39215687,16,66
41.7,0.39215687,16,66
41.8,0.39215687,16,66
41.9,0.39215687,16,66
42,0.39215687,16,66
42.1,0.39215687,16,66
42.2,0.39215687,16,66
42.3,0.39215687,16,66
42.4,0.39215687,16,66
42.5,0.39215687,16,66
42.6,0.39215687,16,66
42.7,0.39215687,12,66
42.8,0.39215687,12,66
42.9,0.39215687,12,66
43,0.39215687,12,66
43.1,0.39215687,12,66
43.2,0.39215687,12,66
43.3,0.39215687,12,66
43.4,0.39215687,8,66
43.5,0.39215687,8,66
43.6,0.39215687,8,66
43.7,0.39215687,8,66
43.8,0.39215687,8,66
43.9,0.39215687,8,66
44,0.39215687,8,66
44.1,0.39215687,8,66
44.2,0.39215687,8,66
44.3,0.39215687,8,66
44.4,0.39215687,8,66
44.5,0.39215687,8,66
44.6,0.39215687,8,66
44.7,0.39215687,8,66
44.8,0.39215687,8,66
44.9,0.39215687,8,66
45,0.39215687,8,66
45.1,0.39215687,8,66
45.2,5.88235283,8,66
45.3,5.88235283,8,66
45.4,5.88235283,8,66
45.5,5.88235283,6,66
45.6,5.88235283,6,66
45.7,5.88235283,6,66
45.8,5.88235283,6,66
